Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"IEEE Standard for the Repair and Rewinding of AC Electric Motors in the Petroleum, Chemical, and Process Industries - Redline",,,IEEE Std 1068-2009 (Revision of IEEE Std 1068-1996) - Redline,20110712,2010,,,1,79,"This standard is intended to be a basic or primary document that can be utilized and referenced by owners of ac motors and generators (machines) that need refurbishment, repair, and/or rewinding, as well as service or repair facilities. It has been developed for the petroleum, chemical, and process industries, and it may be adapted to other areas of interest. The use of this standard is expected to result in higher quality and more cost effective, and timely repairs. A means of evaluating work performed and repair or service facilities is also provided.",,,10.1109/IEEESTD.2010.5953444,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953444,1068-2009;ac generator;ac machine;ac motor;induction;refurbish;repair;repair facility;rewind;service facility;synchronous,AC motors;Chemical industry;IEEE standards;Maintenance engineering;Petroleum industry;Process control,,,,0,,14,,,,March 17 2010,,IEEE,IEEE Standards
"IEEE Standard for the Repair and Rewinding of AC Electric Motors in the Petroleum, Chemical, and Process Industries - Redline",,,IEEE Std 1068-2015 (Revision of IEEE Std 1068-2009) - Redline,20160601,2016,,,1,174,"This standard is intended to be a basic or primary document that can be utilized and referenced by owners of ac motors and generators (machines) that need refurbishment, repair, and/or rewinding, as well as service or repair facilities. It has been developed for the petroleum, chemical, and process industries, and it may be adapted to other areas of interest. The use of this standard is expected to result in higher quality and more cost-effective, timely repairs. A means of evaluating work performed and repair or service facilities is also provided.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7482635,IEEE 1068(TM);ac generator;ac machine;ac motor;induction;refurbish;repair;repair facility;rewind;service facility;synchronous,AC machines;Generators;IEEE Standards;Maintenance engineering;Rewinding;Synchronous motors,,,,,,,,,,Jan. 15 2016,,IEEE,IEEE Standards
"IEEE Standard for the Repair and Rewinding of AC Electric Motors in the Petroleum, Chemical, and Process Industries",,,IEEE Std 1068-2009 (Revision of IEEE Std 1068-1996),20100318,2010,,,1,79,"This standard is intended to be a basic or primary document that can be utilized and referenced by owners of ac motors and generators (machines) that need refurbishment, repair, and/or rewinding, as well as service or repair facilities. It has been developed for the petroleum, chemical, and process industries, and it may be adapted to other areas of interest. The use of this standard is expected to result in higher quality and more cost effective, and timely repairs. A means of evaluating work performed and repair or service facilities is also provided.",,,10.1109/IEEESTD.2010.5434820,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5434820,1068-2009;ac generator;ac machine;ac motor;induction;refurbish;repair;repair facility;rewind;service facility;synchronous,Electric motors;IEEE standards;Maintenance engineering,,,,0,,15,,,,March 17 2010,,IEEE,IEEE Standards
"IEEE Standard for the Repair and Rewinding of AC Electric Motors in the Petroleum, Chemical, and Process Industries",,,IEEE Std 1068-2015 (Revision of IEEE Std 1068-2009),20160111,2016,,,1,90,"This standard is intended to be a basic or primary document that can be utilized and referenced by owners of ac motors and generators (machines) that need refurbishment, repair, and/or rewinding, as well as service or repair facilities. It has been developed for the petroleum, chemical, and process industries, and it may be adapted to other areas of interest. The use of this standard is expected to result in higher quality and more cost-effective, timely repairs. A means of evaluating work performed and repair or service facilities is also provided.",,,10.1109/IEEESTD.2016.7378244,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7378244,IEEE 1068(TM);ac generator;ac machine;ac motor;induction;refurbish;repair;repair facility;rewind;service facility;synchronous,AC motors;Chemical industry;IEEE Standards;Induction motors;Maintenance engineering;Petroleum industry;Windings,AC motors;IEEE standards;machine windings;maintenance engineering,AC electric motor;IEEE 1068-2015 standard;chemical industry;petroleum industry;process industry;repair;rewinding,,,,,,,,Jan. 15 2016,,IEEE,IEEE Standards
"IEEE Standard for the Testing, Design, Installation, and Maintenance of Electrical Resistance Heat Tracing for Industrial Applications",,,IEEE Std 515-1997,20020806,1997,,,i,,"The specific test requirements for qualifying electrical resistance heating cables for industrial service are provided, as well as the basis for electrical and thermal design. Heating device characteristics are addressed, and installation and maintenance requirements are detailed. Heating cable and surface heating device application recommendations and requirements are made for ordinary (unclassified) and hazardous (classified) potentially flammable atmospheres and locations.",,,10.1109/IEEESTD.1997.82402,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=590305,,Resistance heating,resistance heating,IEEE Standard;electrical design;electrical resistance heating cables;hazardous potentially flammable atmospheres;industrial service;installation requirements;maintenance requirements;ordinary atmospheres;resistance heating cables qualification;surface heating;test requirements;thermal design,,0,,5,,,,1997,,IEEE,IEEE Standards
"IEEE Standard for the Testing, Design, Installation, and Maintenance of Electrical Resistance Heat Tracing for Industrial Applications",,,IEEE Std 515-2004 (Revision of IEEE Std 515-1997),20040601,2004,,,0_1,,"Specific testing requirements for qualifying electrical resistance heating cables and heating devices for use in industrial applications, as well as a basis for electrical and thermal design, are included. Applications include unclassified, and both North American and Zone classified areas.",,,10.1109/IEEESTD.2004.94550,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1301213,,IEEE standards;Maintenance;Resistance heating,IEEE standards;cable testing;heat losses;heating elements;installation;maintenance engineering;resistance heating,IEEE standard;cables qualification;classified areas;constant wattage heaters;definitions;electrical design;electrical resistance heat tracing;heat loss;heating cable;industrial applications;installation;insulation resistance;maintenance;parallel heating;pipelines;power output stability;product testing;self-regulating heating;series heating;surface heating devices;testing requirements;thermal design;thermal performance benchmark;unclassified areas;vessel heater,,0,,5,,,,2004,,IEEE,IEEE Standards
"IEEE Standard for the Testing, Design, Installation, and Maintenance of Electrical Resistance Trace Heating for Industrial Applications - Redline",,,IEEE Std 515-2011 (Revision of IEEE Std 515-2004) - Redline,20120227,2011,,,1,143,"Specific testing requirements for qualifying electrical resistance heating cables and heating devices for use in industrial applications, as well as a basis for electrical and thermal design, are included in this standard. Unclassified applications and explosive atmosphere applications that use both Divisions and Zone methods of classification are included.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6158542,IEEE 515;constant wattage heating cables;electrical design;heat loss;heat tracing;heating cable;parallel heating cables;pipelines;self-regulating heating cables;series heating cables;surface heating devices;thermal design;trace heater;trace heating;vessel heater,Electric resistance;Heat transfer;IEEE standards;Power cables;Thermal analysis,,,,0,,,,,,Sept. 9 2011,,IEEE,IEEE Standards
"IEEE Standard for the Testing, Design, Installation, and Maintenance of Electrical Resistance Trace Heating for Industrial Applications",,,IEEE Std 515-2011 (Revision of IEEE Std 515-2004),20110913,2011,,,1,91,"Specific testing requirements for qualifying electrical resistance heating cables and heating devices for use in industrial applications, as well as a basis for electrical and thermal design, are included in this standard. Unclassified applications and explosive atmosphere applications that use both Divisions and Zone methods of classification are included.",,,10.1109/IEEESTD.2011.6018971,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6018971,IEEE 515;constant wattage heating cables;electrical design;heat loss;heat tracing;heating cable;parallel heating cables;pipelines;self-regulating heating cables;series heating cables;surface heating devices;thermal design;trace heater;trace heating;vessel heater,Design methodology;Electrical resistance measurement;Heat treatment;IEEE standards;Maintenance engineering;Surface charging;Testing,IEEE standards;cable testing;cables (electric);design engineering;maintenance engineering;production testing;resistance heating,IEEE Std 515-2011;IEEE standard;electrical design;electrical resistance heating cables;electrical resistance heating devices;electrical resistance trace heating design;electrical resistance trace heating installation;electrical resistance trace heating maintenance;electrical resistance trace heating testing;explosive atmosphere applications;industrial applications;thermal design,,0,1,6,,,,Sept. 9 2011,,IEEE,IEEE Standards
"IEEE Standard on Transitions, Pulses, and Related Waveforms",,,IEEE Std 181-2003,20031117,2003,,,0_1,54,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01245784.png"" border=""0"">",,,10.1109/IEEESTD.2003.94394,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1245784,,,,,,1,,2,,,,2003,,IEEE,IEEE Standards
"IEEE Standard on Video Techniques: Measurement of Resolution of Camera Systems, 1961",,,ANSI/IEEE Std 208-1960,20021210,1960,,,0_1,,"This standard is a revision of Part II of 50 IRE23.S1, and replaces it in all respects. One of the major characteristics of a television system affecting overall picture quality is the ability of the system to reproduce fine detail found in the original image. This ability to resolve detail is determined by a number of factors, such as the number of scanning lines employed, the frame repetition rate, and the overall response of the electrical circuits, which is usually specified in terms of the frequency-response characteristics. Performance of the optical imaging device, the camera tube and the reproducing device also has considerable influence on the ability of the system to resolve detail.<<ETX>>",,,10.1109/IEEESTD.1960.119201,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=18459,,Communication standards;TV cameras,colour television cameras;television standards,50 IRE23.S1;IEEE standard;camera tube;colour TV cameras;frame repetition rate;frequency-response characteristics;optical imaging device;resolution;scanning lines;television system,,0,,,,,,1960,,IEEE,IEEE Standards
